0,1,2,3,4,5,6,7,8,9,10
0316019,密碼學概論,人工智慧概論,無線網路概論,競技程式設計(一),電腦安全概論,訊號與系統,影像處理概論,物聯網應用設計與實作,數值方法,科技創業與營運
0316020,無線網路概論,競技程式設計(一),訊號與系統,數值方法,組合語言與系統程式,數位訊號處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論,電路與電子學(二),嵌入式系統設計概論與實作
0316023,密碼學概論,競技程式設計(一),訊號與系統,組合語言與系統程式,物聯網應用設計與實作,數值方法,數位訊號處理概論,科技創業與營運,電路與電子學(二),無人機自動飛航與電腦視覺概論
0316024,網路通訊原理,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位訊號處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論,嵌入式系統設計概論與實作
0316025,無線網路概論,訊號與系統,物聯網應用設計與實作,數值方法,影像處理概論,數位訊號處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論,嵌入式系統設計概論與實作,電路與電子學(二)
0316026,無線網路概論,密碼學概論,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,數位訊號處理概論,科技創業與營運
0316027,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位訊號處理概論,影像處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論
0316028,無線網路概論,網路通訊原理,訊號與系統,物聯網應用設計與實作,數值方法,影像處理概論,數位訊號處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論,嵌入式系統設計概論與實作
0316029,無線網路概論,網路通訊原理,密碼學概論,人工智慧概論,訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,數位訊號處理概論
0316030,無線網路概論,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位訊號處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論
0316031,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論,電路與電子學(二),嵌入式系統設計概論與實作
0316032,無線網路概論,網路通訊原理,訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,數位訊號處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論,電路與電子學(二)
0316033,人工智慧概論,網路通訊原理,密碼學概論,電腦安全概論,訊號與系統,無線網路概論,競技程式設計(一),影像處理概論,組合語言與系統程式,物聯網應用設計與實作
0316034,無線網路概論,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,科技創業與營運,無人機自動飛航與電腦視覺概論,電路與電子學(二),嵌入式系統設計概論與實作
0316035,密碼學概論,競技程式設計(一),人工智慧概論,電腦安全概論,物聯網應用設計與實作,組合語言與系統程式,科技創業與營運,無人機自動飛航與電腦視覺概論,嵌入式系統設計概論與實作,電路與電子學(二)
0316036,網路通訊原理,無線網路概論,競技程式設計(一),訊號與系統,組合語言與系統程式,影像處理概論,物聯網應用設計與實作,數值方法,數位訊號處理概論,電路與電子學(二)
0316037,無線網路概論,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,數位訊號處理概論,科技創業與營運
0316038,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位訊號處理概論,影像處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論
0316039,網路通訊原理,密碼學概論,競技程式設計(一),電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位訊號處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論
0316041,無線網路概論,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位訊號處理概論,影像處理概論,科技創業與營運
0316042,無線網路概論,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位訊號處理概論,影像處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論
0316043,網路通訊原理,訊號與系統,數值方法,組合語言與系統程式,科技創業與營運,無人機自動飛航與電腦視覺概論,電路與電子學(二),嵌入式系統設計概論與實作,,
0316044,無線網路概論,網路通訊原理,人工智慧概論,訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位訊號處理概論,科技創業與營運
0316045,無線網路概論,網路通訊原理,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,組合語言與系統程式,數值方法,影像處理概論,數位訊號處理概論
0316046,無線網路概論,網路通訊原理,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,科技創業與營運,無人機自動飛航與電腦視覺概論,電路與電子學(二)
0316047,無線網路概論,網路通訊原理,密碼學概論,訊號與系統,數值方法,物聯網應用設計與實作,組合語言與系統程式,數位訊號處理概論,影像處理概論,科技創業與營運
