0,1,2,3,4,5,6,7,1,2,3,4,5
0311020,無線網路概論,網路通訊原理,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺
0311035,網路通訊原理,無線網路概論,競技程式設計(一),人工智慧概論,物聯網應用設計與實作,數值方法,數位訊號處理概論,無線網路,數位遊戲與學習,虛擬實境與擴增實境,電腦動畫與特效,演算法
0311222,無線網路概論,網路通訊原理,密碼學概論,電腦安全概論,物聯網應用設計與實作,數值方法,數位訊號處理概論,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺
0311241,網路通訊原理,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位訊號處理概論,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺
0311258,無線網路概論,網路通訊原理,密碼學概論,競技程式設計(一),人工智慧概論,電腦安全概論,物聯網應用設計與實作,無線網路,數位遊戲與學習,高等UNIX程式設計,虛擬實境與擴增實境,電腦視覺
0311274,無線網路概論,網路通訊原理,密碼學概論,競技程式設計(一),電腦安全概論,物聯網應用設計與實作,數值方法,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺
0311550,網路通訊原理,無線網路概論,人工智慧概論,電腦安全概論,訊號與系統,組合語言與系統程式,物聯網應用設計與實作,數位遊戲與學習,虛擬實境與擴增實境,高等UNIX程式設計,電腦視覺,電腦動畫與特效
0311614,資料庫系統概論,人工智慧概論,密碼學概論,電腦安全概論,競技程式設計(一),組合語言與系統程式,物聯網應用設計與實作,無線網路,數位遊戲與學習,虛擬實境與擴增實境,高等UNIX程式設計,電腦視覺
0312012,資料庫系統概論,網路通訊原理,無線網路概論,密碼學概論,競技程式設計(一),電腦安全概論,組合語言與系統程式,無線網路,數位遊戲與學習,虛擬實境與擴增實境,高等UNIX程式設計,電腦動畫與特效
0312203,無線網路概論,網路通訊原理,競技程式設計(一),人工智慧概論,電腦安全概論,物聯網應用設計與實作,數值方法,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,演算法
0312209,無線網路概論,密碼學概論,競技程式設計(一),人工智慧概論,訊號與系統,物聯網應用設計與實作,數值方法,無線網路,數位遊戲與學習,虛擬實境與擴增實境,電腦動畫與特效,電腦視覺
0312236,無線網路概論,密碼學概論,訊號與系統,物聯網應用設計與實作,組合語言與系統程式,數值方法,影像處理概論,無線網路,數位遊戲與學習,虛擬實境與擴增實境,電腦動畫與特效,電腦視覺
0312238,無線網路概論,密碼學概論,人工智慧概論,訊號與系統,電腦安全概論,物聯網應用設計與實作,組合語言與系統程式,數位遊戲與學習,虛擬實境與擴增實境,電腦動畫與特效,電腦視覺,演算法
0312510,資料庫系統概論,人工智慧概論,網路通訊原理,密碼學概論,電腦安全概論,無線網路概論,競技程式設計(一),無線網路,數位遊戲與學習,虛擬實境與擴增實境,電腦視覺,高等UNIX程式設計
0312512,無線網路概論,網路通訊原理,密碼學概論,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺
0312546,網路通訊原理,密碼學概論,無線網路概論,人工智慧概論,競技程式設計(一),電腦安全概論,組合語言與系統程式,數位遊戲與學習,高等UNIX程式設計,虛擬實境與擴增實境,電腦視覺,電腦動畫與特效
0313335,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位訊號處理概論,科技創業與營運,無線網路,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,高等UNIX程式設計
0313342,網路通訊原理,密碼學概論,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,演算法,高等UNIX程式設計
0313354,無線網路概論,網路通訊原理,訊號與系統,電腦安全概論,物聯網應用設計與實作,組合語言與系統程式,數位訊號處理概論,無線網路,數位遊戲與學習,電腦動畫與特效,電腦視覺,虛擬實境與擴增實境
0313404,網路通訊原理,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,無線網路,數位遊戲與學習,虛擬實境與擴增實境,電腦動畫與特效,電腦視覺
0313415,密碼學概論,無線網路概論,競技程式設計(一),訊號與系統,組合語言與系統程式,物聯網應用設計與實作,數值方法,無線網路,數位遊戲與學習,虛擬實境與擴增實境,電腦視覺,高等UNIX程式設計
0316001,無線網路概論,密碼學概論,競技程式設計(一),訊號與系統,物聯網應用設計與實作,組合語言與系統程式,數位訊號處理概論,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺
0316002,無線網路概論,網路通訊原理,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺
0316003,無線網路概論,訊號與系統,電腦安全概論,組合語言與系統程式,物聯網應用設計與實作,數值方法,影像處理概論,無線網路,數位遊戲與學習,虛擬實境與擴增實境,電腦動畫與特效,高等UNIX程式設計
0316004,無線網路概論,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺
0316005,無線網路概論,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺
0316006,無線網路概論,競技程式設計(一),訊號與系統,數值方法,物聯網應用設計與實作,組合語言與系統程式,影像處理概論,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺
0316007,無線網路概論,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,無線網路,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,演算法
0316010,無線網路概論,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,演算法
0316011,密碼學概論,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位訊號處理概論,無線網路,虛擬實境與擴增實境,電腦動畫與特效,電腦視覺,演算法
0316012,無線網路概論,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位訊號處理概論,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺
0316013,無線網路概論,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺
0316014,無線網路概論,密碼學概論,訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,數位遊戲與學習,虛擬實境與擴增實境,電腦動畫與特效,電腦視覺,演算法
0316015,無線網路概論,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,組合語言與系統程式,數值方法,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,高等UNIX程式設計
0316016,無線網路概論,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,演算法
0316017,密碼學概論,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,無線網路,虛擬實境與擴增實境,電腦動畫與特效,高等UNIX程式設計,演算法
0316018,無線網路概論,競技程式設計(一),電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,演算法
0316019,密碼學概論,人工智慧概論,無線網路概論,競技程式設計(一),電腦安全概論,訊號與系統,影像處理概論,無線網路,數位遊戲與學習,虛擬實境與擴增實境,高等UNIX程式設計,電腦視覺
0316020,無線網路概論,競技程式設計(一),訊號與系統,數值方法,組合語言與系統程式,數位訊號處理概論,科技創業與營運,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,演算法
0316023,密碼學概論,競技程式設計(一),訊號與系統,組合語言與系統程式,物聯網應用設計與實作,數值方法,數位訊號處理概論,無線網路,數位遊戲與學習,虛擬實境與擴增實境,高等UNIX程式設計,電腦動畫與特效
