0,1,2,3,4,5,6,7,8,9,10
0016047,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,數位遊戲與學習,機器學習,作業系統設計與實作,圖形識別
0016048,演算法,作業系統,計算機網路,人工智慧,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,虛擬實境與擴增實境,圖形識別
0016049,演算法,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,圖形識別
0016050,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016051,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016052,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,無線網路,數位遊戲與學習,作業系統設計與實作,機器學習
0016053,演算法,計算機架構,計算機網路,無線網路,人工智慧,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,虛擬實境與擴增實境
0016054,演算法,作業系統,計算機網路,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,虛擬實境與擴增實境,電腦動畫與特效
0016055,作業系統,計算機網路,無線網路,人工智慧,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,虛擬實境與擴增實境,圖形識別
0016056,作業系統,計算機架構,計算機網路,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,虛擬實境與擴增實境,圖形識別
0016057,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016058,演算法,作業系統,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,圖形識別
0016059,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016060,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016061,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,圖形識別,虛擬實境與擴增實境
0016062,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,圖形識別
0016064,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016065,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016066,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,圖形識別
0016067,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,圖形識別,虛擬實境與擴增實境
0016069,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,無線網路,數位遊戲與學習,機器學習,作業系統設計與實作
0016070,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016071,演算法,作業系統,計算機架構,計算機網路,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,圖形識別
0016072,計算機架構,計算機網路,無線網路,人工智慧,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,虛擬實境與擴增實境,圖形識別
0016074,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016075,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,無線網路,數位遊戲與學習,機器學習,作業系統設計與實作
0016076,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016077,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,無線網路,數位遊戲與學習,機器學習,作業系統設計與實作
0016078,演算法,作業系統,計算機架構,無線網路,人工智慧,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,虛擬實境與擴增實境
0016079,演算法,作業系統,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,圖形識別
0016080,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016081,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,無線網路,機器學習,作業系統設計與實作,圖形識別
0016082,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,無線網路,數位遊戲與學習,機器學習,作業系統設計與實作
0016083,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,無線網路,數位遊戲與學習,機器學習,作業系統設計與實作
0016084,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016085,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,圖形識別
0016086,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016087,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,無線網路,數位遊戲與學習,機器學習,作業系統設計與實作
0016088,演算法,作業系統,計算機架構,計算機網路,無線網路,人工智慧,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016089,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016090,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016091,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016092,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,無線網路,數位遊戲與學習,機器學習,作業系統設計與實作,圖形識別
0016094,計算機架構,計算機網路,無線網路,人工智慧,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,虛擬實境與擴增實境,圖形識別
0016095,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,數位遊戲與學習,機器學習,作業系統設計與實作,電腦動畫與特效
0016096,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,圖形識別
0016097,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016098,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016099,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016100,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,無線網路,數位遊戲與學習,作業系統設計與實作,機器學習
0016101,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,無線網路,數位遊戲與學習,機器學習,作業系統設計與實作
0016102,演算法,作業系統,計算機架構,計算機網路,無線網路,人工智慧,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016104,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016105,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016106,演算法,作業系統,計算機架構,計算機網路,無線網路,人工智慧,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016107,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,無線網路,數位遊戲與學習,機器學習,作業系統設計與實作
0016108,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,作業系統設計與實作,機器學習
0016109,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,無線網路,數位遊戲與學習,機器學習,作業系統設計與實作
0016110,演算法,作業系統,計算機網路,無線網路,人工智慧,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,虛擬實境與擴增實境
0016201,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,圖形識別
0016202,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,無線網路,機器學習,作業系統設計與實作,圖形識別
0016203,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016204,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,無線網路,數位遊戲與學習,機器學習,作業系統設計與實作
0016205,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016206,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,無線網路,數位遊戲與學習,機器學習,作業系統設計與實作
0016207,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,無線網路,數位遊戲與學習,機器學習,作業系統設計與實作
0016208,演算法,計算機架構,計算機網路,無線網路,人工智慧,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,虛擬實境與擴增實境
0016209,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,無線網路,數位遊戲與學習,機器學習,作業系統設計與實作
0016210,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,無線網路,數位遊戲與學習,機器學習,作業系統設計與實作
0016211,演算法,計算機架構,無線網路,人工智慧,電腦視覺,數位遊戲與學習,作業系統設計與實作,機器學習,高等UNIX程式設計,深度學習與實務
0016212,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016213,演算法,作業系統,計算機架構,計算機網路,無線網路,數位遊戲與學習,機器學習,作業系統設計與實作,電腦動畫與特效,高等UNIX程式設計
0016214,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,數位遊戲與學習,機器學習,作業系統設計與實作,電腦動畫與特效
0016215,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,無線網路,數位遊戲與學習,機器學習,作業系統設計與實作
0016216,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016217,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,圖形識別,虛擬實境與擴增實境
0016218,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,無線網路,數位遊戲與學習,機器學習,作業系統設計與實作
0016219,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,圖形識別
0016220,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016221,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016222,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,無線網路,數位遊戲與學習,機器學習,作業系統設計與實作
0016223,演算法,作業系統,計算機架構,計算機網路,無線網路,人工智慧,數位遊戲與學習,機器學習,作業系統設計與實作,電腦動畫與特效
0016224,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,高等UNIX程式設計
0016225,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,無線網路,數位遊戲與學習,機器學習,作業系統設計與實作
0016226,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,無線網路,數位遊戲與學習,機器學習,作業系統設計與實作
0016227,演算法,作業系統,計算機網路,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,虛擬實境與擴增實境,圖形識別
0016228,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,圖形識別
0016229,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016230,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,圖形識別
0016231,演算法,作業系統,計算機網路,電腦視覺,無線網路,數位遊戲與學習,機器學習,作業系統設計與實作,圖形識別,虛擬實境與擴增實境
0016233,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016234,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016235,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,無線網路,機器學習,作業系統設計與實作,圖形識別
0016236,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,無線網路,數位遊戲與學習,機器學習,作業系統設計與實作
0016237,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,無線網路,數位遊戲與學習,機器學習,作業系統設計與實作
0016238,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016239,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,無線網路,數位遊戲與學習,作業系統設計與實作,機器學習
0016240,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016241,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,無線網路,數位遊戲與學習,機器學習,作業系統設計與實作
