0,1,2,3,4,5,6,7,8,9,10
0016052,資料庫系統概論,人工智慧概論,密碼學概論,組合語言與系統程式,電腦安全概論,訊號與系統,無線網路概論,影像處理概論,嵌入式系統設計概論與實作,數值方法
0016053,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,競技程式設計(一),數值方法,,,
0016054,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,競技程式設計(一),,,,
0016055,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,競技程式設計(一),嵌入式系統設計概論與實作,,,,
0016056,密碼學概論,無線網路概論,網路通訊原理,訊號與系統,電腦安全概論,影像處理概論,數值方法,競技程式設計(一),嵌入式系統設計概論與實作,物聯網應用設計與實作
0016057,無線網路概論,電腦安全概論,網路通訊原理,訊號與系統,影像處理概論,數值方法,競技程式設計(一),,,
0016058,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,競技程式設計(一),嵌入式系統設計概論與實作,,,
0016059,無線網路概論,電腦安全概論,網路通訊原理,訊號與系統,影像處理概論,競技程式設計(一),嵌入式系統設計概論與實作,,,
0016060,無線網路概論,網路通訊原理,訊號與系統,影像處理概論,數值方法,嵌入式系統設計概論與實作,競技程式設計(一),,,
0016061,無線網路概論,電腦安全概論,網路通訊原理,影像處理概論,嵌入式系統設計概論與實作,競技程式設計(一),,,,
0016062,網路通訊原理,訊號與系統,影像處理概論,競技程式設計(一),數值方法,嵌入式系統設計概論與實作,,,,
0016064,無線網路概論,電腦安全概論,網路通訊原理,訊號與系統,影像處理概論,嵌入式系統設計概論與實作,競技程式設計(一),,,
0016065,人工智慧概論,密碼學概論,無線網路概論,電腦安全概論,組合語言與系統程式,訊號與系統,網路通訊原理,影像處理概論,嵌入式系統設計概論與實作,
0016066,無線網路概論,電腦安全概論,網路通訊原理,影像處理概論,數值方法,嵌入式系統設計概論與實作,競技程式設計(一),,,
0016067,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,數值方法,競技程式設計(一),嵌入式系統設計概論與實作,,
0016069,無線網路概論,電腦安全概論,訊號與系統,網路通訊原理,影像處理概論,數值方法,競技程式設計(一),,,
0016070,無線網路概論,網路通訊原理,影像處理概論,數值方法,競技程式設計(一),,,,,
0016071,無線網路概論,電腦安全概論,訊號與系統,影像處理概論,數值方法,競技程式設計(一),,,,
0016072,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,競技程式設計(一),嵌入式系統設計概論與實作,物聯網應用設計與實作,,
0016074,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,數值方法,競技程式設計(一),嵌入式系統設計概論與實作,,
0016075,無線網路概論,電腦安全概論,訊號與系統,網路通訊原理,影像處理概論,數值方法,嵌入式系統設計概論與實作,競技程式設計(一),,
0016076,無線網路概論,電腦安全概論,網路通訊原理,訊號與系統,競技程式設計(一),嵌入式系統設計概論與實作,,,,
0016077,無線網路概論,電腦安全概論,網路通訊原理,訊號與系統,影像處理概論,數值方法,嵌入式系統設計概論與實作,競技程式設計(一),,
0016078,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,競技程式設計(一),數值方法,,,
0016079,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,競技程式設計(一),嵌入式系統設計概論與實作,,,
0016080,電腦安全概論,網路通訊原理,訊號與系統,影像處理概論,數值方法,競技程式設計(一),,,,
0016081,無線網路概論,電腦安全概論,訊號與系統,網路通訊原理,影像處理概論,數值方法,嵌入式系統設計概論與實作,競技程式設計(一),,
0016082,無線網路概論,網路通訊原理,訊號與系統,影像處理概論,嵌入式系統設計概論與實作,競技程式設計(一),,,,
0016083,無線網路概論,訊號與系統,網路通訊原理,影像處理概論,嵌入式系統設計概論與實作,競技程式設計(一),,,,
0016084,無線網路概論,電腦安全概論,網路通訊原理,訊號與系統,影像處理概論,數值方法,競技程式設計(一),,,
0016085,無線網路概論,網路通訊原理,訊號與系統,影像處理概論,數值方法,競技程式設計(一),,,,
0016086,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,數值方法,競技程式設計(一),嵌入式系統設計概論與實作,,
0016087,密碼學概論,無線網路概論,電腦安全概論,組合語言與系統程式,訊號與系統,網路通訊原理,影像處理概論,,,
0016088,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,競技程式設計(一),,,,
0016089,網路通訊原理,訊號與系統,影像處理概論,數值方法,競技程式設計(一),嵌入式系統設計概論與實作,,,,
0016090,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,數值方法,競技程式設計(一),嵌入式系統設計概論與實作,,
0016091,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,數值方法,競技程式設計(一),,,
0016092,無線網路概論,電腦安全概論,訊號與系統,網路通訊原理,影像處理概論,競技程式設計(一),,,,
0016094,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,競技程式設計(一),物聯網應用設計與實作,嵌入式系統設計概論與實作,,
0016095,無線網路概論,網路通訊原理,訊號與系統,影像處理概論,競技程式設計(一),嵌入式系統設計概論與實作,,,,
0016096,無線網路概論,電腦安全概論,網路通訊原理,訊號與系統,影像處理概論,數值方法,競技程式設計(一),,,
0016097,無線網路概論,網路通訊原理,訊號與系統,影像處理概論,競技程式設計(一),,,,,
0016098,資料庫系統概論,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,數值方法,競技程式設計(一),,
0016099,無線網路概論,電腦安全概論,網路通訊原理,影像處理概論,數值方法,嵌入式系統設計概論與實作,競技程式設計(一),,,
0016100,資料庫系統概論,人工智慧概論,密碼學概論,組合語言與系統程式,電腦安全概論,訊號與系統,無線網路概論,影像處理概論,嵌入式系統設計概論與實作,數值方法
0016101,資料庫系統概論,人工智慧概論,無線網路概論,電腦安全概論,訊號與系統,網路通訊原理,組合語言與系統程式,影像處理概論,,
0016102,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,競技程式設計(一),嵌入式系統設計概論與實作,,,
0016104,資料庫系統概論,密碼學概論,無線網路概論,電腦安全概論,網路通訊原理,訊號與系統,影像處理概論,,,
0016105,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,競技程式設計(一),嵌入式系統設計概論與實作,,,,
0016106,無線網路概論,網路通訊原理,訊號與系統,影像處理概論,數值方法,競技程式設計(一),嵌入式系統設計概論與實作,,,
0016107,資料庫系統概論,人工智慧概論,密碼學概論,組合語言與系統程式,電腦安全概論,訊號與系統,無線網路概論,影像處理概論,嵌入式系統設計概論與實作,數值方法
0016108,資料庫系統概論,人工智慧概論,密碼學概論,組合語言與系統程式,電腦安全概論,訊號與系統,無線網路概論,影像處理概論,嵌入式系統設計概論與實作,數值方法
0016109,資料庫系統概論,人工智慧概論,密碼學概論,組合語言與系統程式,電腦安全概論,無線網路概論,訊號與系統,影像處理概論,網路通訊原理,嵌入式系統設計概論與實作
0016110,無線網路概論,網路通訊原理,訊號與系統,影像處理概論,數值方法,競技程式設計(一),嵌入式系統設計概論與實作,,,
0016201,人工智慧概論,密碼學概論,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,數值方法,競技程式設計(一),嵌入式系統設計概論與實作
0016202,資料庫系統概論,密碼學概論,網路通訊原理,嵌入式系統設計概論與實作,競技程式設計(一),,,,,
0016203,人工智慧概論,密碼學概論,電腦安全概論,網路通訊原理,影像處理概論,數值方法,嵌入式系統設計概論與實作,競技程式設計(一),,
0016204,資料庫系統概論,人工智慧概論,密碼學概論,無線網路概論,嵌入式系統設計概論與實作,數值方法,,,,
0016205,人工智慧概論,密碼學概論,無線網路概論,網路通訊原理,訊號與系統,影像處理概論,數值方法,競技程式設計(一),,
0016206,人工智慧概論,密碼學概論,無線網路概論,電腦安全概論,網路通訊原理,嵌入式系統設計概論與實作,數值方法,,,
0016207,人工智慧概論,密碼學概論,電腦安全概論,網路通訊原理,影像處理概論,嵌入式系統設計概論與實作,數值方法,,,
0016208,人工智慧概論,密碼學概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,競技程式設計(一),嵌入式系統設計概論與實作,,
0016209,資料庫系統概論,人工智慧概論,密碼學概論,無線網路概論,電腦安全概論,訊號與系統,網路通訊原理,影像處理概論,嵌入式系統設計概論與實作,
0016210,資料庫系統概論,人工智慧概論,電腦安全概論,網路通訊原理,影像處理概論,數值方法,嵌入式系統設計概論與實作,,,
0016211,人工智慧概論,密碼學概論,電腦安全概論,訊號與系統,網路通訊原理,嵌入式系統設計概論與實作,數值方法,競技程式設計(一),科技創業與營運,
0016212,密碼學概論,無線網路概論,訊號與系統,網路通訊原理,影像處理概論,嵌入式系統設計概論與實作,競技程式設計(一),,,
0016213,密碼學概論,無線網路概論,電腦安全概論,網路通訊原理,嵌入式系統設計概論與實作,數值方法,競技程式設計(一),,,
0016214,人工智慧概論,密碼學概論,電腦安全概論,網路通訊原理,影像處理概論,數值方法,嵌入式系統設計概論與實作,競技程式設計(一),,
0016215,人工智慧概論,密碼學概論,無線網路概論,電腦安全概論,訊號與系統,網路通訊原理,嵌入式系統設計概論與實作,數值方法,,
0016216,密碼學概論,電腦安全概論,網路通訊原理,影像處理概論,嵌入式系統設計概論與實作,數值方法,競技程式設計(一),,,
0016217,資料庫系統概論,人工智慧概論,密碼學概論,網路通訊原理,影像處理概論,數值方法,競技程式設計(一),嵌入式系統設計概論與實作,,
0016218,人工智慧概論,密碼學概論,電腦安全概論,網路通訊原理,嵌入式系統設計概論與實作,競技程式設計(一),,,,
0016219,人工智慧概論,密碼學概論,電腦安全概論,訊號與系統,網路通訊原理,嵌入式系統設計概論與實作,數值方法,競技程式設計(一),,
0016220,密碼學概論,電腦安全概論,網路通訊原理,影像處理概論,嵌入式系統設計概論與實作,競技程式設計(一),,,,
0016221,人工智慧概論,密碼學概論,電腦安全概論,訊號與系統,網路通訊原理,嵌入式系統設計概論與實作,數值方法,競技程式設計(一),,
0016222,人工智慧概論,密碼學概論,電腦安全概論,網路通訊原理,影像處理概論,嵌入式系統設計概論與實作,競技程式設計(一),,,
0016223,密碼學概論,無線網路概論,網路通訊原理,電腦安全概論,影像處理概論,數值方法,競技程式設計(一),嵌入式系統設計概論與實作,,
0016224,人工智慧概論,密碼學概論,訊號與系統,電腦安全概論,網路通訊原理,嵌入式系統設計概論與實作,數值方法,競技程式設計(一),,
